compr	T_lin	CH2O_lin	CO_lin	CO2_lin	H_lin	H2_lin	H2O_lin	H2O2_lin	HCO_lin	HO2_lin	O_lin	O2_lin	OH_lin	T_knn	CH2O_knn	CO_knn	CO2_knn	H_knn	H2_knn	H2O_knn	H2O2_knn	HCO_knn	HO2_knn	O_knn	O2_knn	OH_knn	T_down	CH2O_down	CO_down	CO2_down	H_down	H2_down	H2O_down	H2O2_down	HCO_down	HO2_down	O_down	O2_down	OH_down
2120.3	0.0047865	0.000085494	0.0032728	0.0038698	0.0090154	0.0034402	0.0077547	0.018126	0.0027241	0.016306	0.013774	0.0077908	0.0055953	0.011919	0.00010263	0.010608	0.01242	0.023505	0.0094286	0.016975	0.031161	0.0039448	0.018274	0.061728	0.019374	0.016089	0.015687	0.00010363	0.014436	0.016363	0.034664	0.016995	0.026549	0.028777	0.0062416	0.026961	0.050941	0.028885	0.028129
534.95	0.0015124	0.000042159	0.00084263	0.0010158	0.0027412	0.00067686	0.0018459	0.009495	0.0009227	0.0069957	0.0062107	0.0017734	0.0013277	0.0022763	0.000046876	0.0018318	0.0020621	0.0036744	0.001568	0.0019445	0.010735	0.00082262	0.0064951	0.040285	0.0022846	0.0030823	0.0063273	0.000080585	0.0051095	0.0058628	0.015945	0.0054421	0.011398	0.016083	0.0037697	0.016402	0.021446	0.011695	0.011265
320.97	0.0011576	0.000034974	0.00057515	0.00067371	0.002052	0.00050422	0.0011681	0.0081506	0.00062702	0.005119	0.0053584	0.0011361	0.00086328	0.0015333	0.000043313	0.0011583	0.001305	0.0034035	0.0010577	0.0012248	0.0082586	0.00054272	0.0047194	0.038002	0.0014373	0.0019499	0.0038192	0.000073708	0.0028956	0.0033264	0.010518	0.0030689	0.0068541	0.01276	0.0029606	0.013477	0.014124	0.0068303	0.006533
209.51	0.00089286	0.000027243	0.0004616	0.00055212	0.0015324	0.00034148	0.00069998	0.0068294	0.00037917	0.003623	0.004963	0.00070377	0.0006472	0.0014788	0.000025146	0.00092079	0.0010857	0.0018969	0.00068418	0.0009316	0.0062358	0.00036826	0.0033209	0.032644	0.0009618	0.0013323	0.0026844	0.000062365	0.0019869	0.0022655	0.0075581	0.0020258	0.0048753	0.010838	0.0024133	0.011711	0.0099979	0.0048121	0.0043677
145.19	0.00078485	0.000016272	0.00037808	0.00043318	0.0013493	0.00028799	0.00052829	0.0055413	0.00029551	0.0028616	0.0047777	0.00052494	0.00053853	0.0010541	0.000018304	0.00067791	0.00076196	0.0016176	0.00052954	0.00053878	0.0053791	0.00028723	0.0026743	0.032538	0.00062045	0.001039	0.0020581	0.000059808	0.0015018	0.0017412	0.0053273	0.0014908	0.0037585	0.0088755	0.002062	0.0098313	0.0070911	0.0036907	0.0034723
104.15	0.00069596	0.000015856	0.00033215	0.00037283	0.0012374	0.00025731	0.00038845	0.0046305	0.00024145	0.0022455	0.0047878	0.00041588	0.00047261	0.0008722	0.00001701	0.0005569	0.00062146	0.0015376	0.00044504	0.00041505	0.0046971	0.00024783	0.0022088	0.031431	0.00050306	0.00086714	0.001568	0.00005434	0.0010527	0.0012174	0.0042591	0.0011035	0.00288	0.0077781	0.0016613	0.0087368	0.0057198	0.0027404	0.002384
60.421	0.0006383	9.7008E-006	0.00030455	0.00033216	0.0011318	0.00022434	0.00027001	0.0038138	0.00019085	0.0016056	0.0047225	0.00030835	0.00044128	0.00083815	0.000011372	0.00047948	0.00052286	0.0014355	0.00035993	0.00035129	0.0039464	0.00020992	0.0017273	0.031117	0.00041429	0.00071908	0.00091952	0.000049833	0.00059064	0.00068267	0.0025099	0.00059433	0.0016494	0.0057387	0.0012192	0.0067216	0.0033471	0.0015462	0.0013344
42.45	0.00060468	7.5021E-006	0.00029463	0.00031891	0.0010954	0.00021858	0.00022899	0.003386	0.00017443	0.0012869	0.0047202	0.00027511	0.00041429	0.00095219	8.8543E-006	0.00044508	0.00048091	0.0013166	0.00033041	0.00031135	0.0035257	0.00019655	0.0014861	0.02733	0.00036941	0.00063567	0.00063212	0.000040088	0.00040179	0.00046243	0.0017361	0.00039059	0.0011393	0.0046545	0.00098253	0.0054039	0.0023631	0.0010648	0.00088123
19.315	0.00058374	4.7371E-006	0.00028456	0.00030343	0.0010695	0.00021089	0.00019867	0.0028301	0.00016085	0.00098493	0.0048296	0.00024676	0.00040164	0.00080209	5.3458E-006	0.00039197	0.00041762	0.0012603	0.00029288	0.00027428	0.0029933	0.00018747	0.0011876	0.025686	0.00032765	0.00056024	0.00030415	0.000029977	0.00018209	0.00020967	0.00080006	0.00017893	0.00053686	0.0028713	0.00058756	0.0035914	0.0010769	0.00049054	0.00040411
17.276	0.00058625	4.4257E-006	0.00028816	0.00030675	0.0010717	0.00021113	0.00019776	0.0028281	0.00016046	0.00096724	0.0048654	0.00024596	0.00040293	0.00080228	4.8432E-006	0.00039304	0.00041795	0.0012576	0.00029062	0.00027353	0.0029852	0.00018755	0.0011701	0.025686	0.00032635	0.00055747	0.00026186	0.000029495	0.00015643	0.00018032	0.0006954	0.0001515	0.00046161	0.0026455	0.00053221	0.0033361	0.00093822	0.00042157	0.00034438
